Handle,Command,Body HTML
120-vac-1-2-in-flare-diverting-quickfit-zone-valve,UPDATE,"<p>The V4044A1001 is a two-position hydronic zone valve from Resideo, the brand that carries the Honeywell Home line of residential heating controls. It pairs a motorized actuator with a 1/2-inch flare valve body to start and stop hot water flow to a single heating zone on a call from a thermostat or zone panel.</p><p>This is a <strong>diverting</strong> valve. Instead of simply opening and closing one path, it moves flow between two outlets, which is how a single circulator can serve a heating zone and an indirect water heater without a second pump.</p><p>The 1/2-inch flare connections tie the valve into the supply piping, and the V4044A1001 handles supply water at operating pressures up to <strong>300 psi</strong>. </p><p>This is a <strong>QuickFit</strong> model: the actuator head releases from the valve body without breaking the piping connection, so a failed motor is changed out without draining the system or unsoldering anything.</p><p>The V8043 and V4043 series have been the reference zone valves in North American hydronic heating for decades, and most contractors still order them by the original Honeywell part number. The actuator head is field-replaceable, so a burned-out motor does not mean cutting the body out of the line.</p><p><strong>Replacement head and motor for this valve</strong></p><ul><li><a href=""/products/replacement-head-for-v4044a-120-vac-60-hz-with-96-in-leads"">Resideo 40003916-047/U Replacement Head for V4044A, 120 VAC, 60 Hz with 96 in leads</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> V4044A1001/U</li><li><strong>Valve action:</strong> Diverting</li><li><strong>Voltage:</strong> 120 Vac</li><li><strong>Connection size:</strong> 1/2 in</li><li><strong>Connection type:</strong> Flare</li><li><strong>QuickFit actuator:</strong> Yes</li><li><strong>Max operating pressure:</strong> 300 psi</li><li><strong>Category:</strong> Zone Valves</li></ul>"
120-vac-1-2-in-sweat-diverting-quickfit-zone-valve,UPDATE,"<p>The V4044A1019 is a two-position hydronic zone valve from Resideo, the brand that carries the Honeywell Home line of residential heating controls. It pairs a motorized actuator with a 1/2-inch sweat valve body to start and stop hot water flow to a single heating zone on a call from a thermostat or zone panel.</p><p>This is a <strong>diverting</strong> valve. Instead of simply opening and closing one path, it moves flow between two outlets, which is how a single circulator can serve a heating zone and an indirect water heater without a second pump.</p><p>The 1/2-inch sweat connections tie the valve into the supply piping, and the V4044A1019 handles supply water at operating pressures up to <strong>300 psi</strong>. </p><p>This is a <strong>QuickFit</strong> model: the actuator head releases from the valve body without breaking the piping connection, so a failed motor is changed out without draining the system or unsoldering anything.</p><p>The V8043 and V4043 series have been the reference zone valves in North American hydronic heating for decades, and most contractors still order them by the original Honeywell part number. The actuator head is field-replaceable, so a burned-out motor does not mean cutting the body out of the line.</p><p><strong>Replacement head and motor for this valve</strong></p><ul><li><a href=""/products/replacement-head-for-v4044a-120-vac-60-hz-with-96-in-leads"">Resideo 40003916-047/U Replacement Head for V4044A, 120 VAC, 60 Hz with 96 in leads</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> V4044A1019/U</li><li><strong>Valve action:</strong> Diverting</li><li><strong>Voltage:</strong> 120 Vac</li><li><strong>Connection size:</strong> 1/2 in</li><li><strong>Connection type:</strong> Sweat</li><li><strong>QuickFit actuator:</strong> Yes</li><li><strong>Max operating pressure:</strong> 300 psi</li><li><strong>Category:</strong> Zone Valves</li></ul>"
120-vac-3-4-in-sweat-diverting-quickfit-zone-valve,UPDATE,"<p>The V4044A1191 is a two-position hydronic zone valve from Resideo, the brand that carries the Honeywell Home line of residential heating controls. It pairs a motorized actuator with a 3/4-inch sweat valve body to start and stop hot water flow to a single heating zone on a call from a thermostat or zone panel.</p><p>This is a <strong>diverting</strong> valve. Instead of simply opening and closing one path, it moves flow between two outlets, which is how a single circulator can serve a heating zone and an indirect water heater without a second pump.</p><p>The 3/4-inch sweat connections tie the valve into the supply piping, and the V4044A1191 handles supply water at operating pressures up to <strong>300 psi</strong>. </p><p>This is a <strong>QuickFit</strong> model: the actuator head releases from the valve body without breaking the piping connection, so a failed motor is changed out without draining the system or unsoldering anything.</p><p>The V8043 and V4043 series have been the reference zone valves in North American hydronic heating for decades, and most contractors still order them by the original Honeywell part number. The actuator head is field-replaceable, so a burned-out motor does not mean cutting the body out of the line.</p><p><strong>Replacement head and motor for this valve</strong></p><ul><li><a href=""/products/replacement-head-for-v4044a-120-vac-60-hz-with-96-in-leads"">Resideo 40003916-047/U Replacement Head for V4044A, 120 VAC, 60 Hz with 96 in leads</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> V4044A1191/U</li><li><strong>Valve action:</strong> Diverting</li><li><strong>Voltage:</strong> 120 Vac</li><li><strong>Connection size:</strong> 3/4 in</li><li><strong>Connection type:</strong> Sweat</li><li><strong>QuickFit actuator:</strong> Yes</li><li><strong>Max operating pressure:</strong> 300 psi</li><li><strong>Category:</strong> Zone Valves</li></ul>"
120-vac-npt-n-c-zone-valve,UPDATE,"<p>The V4043A1705 is a two-position hydronic zone valve from Resideo, the brand that carries the Honeywell Home line of residential heating controls. It pairs a motorized actuator with a NPT valve body to start and stop hot water flow to a single heating zone on a call from a thermostat or zone panel.</p><p>The valve is <strong>normally closed</strong>. It stays shut until the actuator is energized and returns to the closed position when power is removed, so a zone drops out on a power failure or a thermostat fault instead of running unattended. That is the safer default on a boiler loop feeding radiators, convectors, finned baseboard, or in-floor radiant tubing.</p><p>The NPT connections tie the valve into the supply piping, and the V4043A1705 handles supply water at operating pressures up to <strong>300 psi</strong>. </p><p>The V8043 and V4043 series have been the reference zone valves in North American hydronic heating for decades, and most contractors still order them by the original Honeywell part number. The actuator head is field-replaceable, so a burned-out motor does not mean cutting the body out of the line.</p><p><strong>Replacement head and motor for this valve</strong></p><ul><li><a href=""/products/replacement-head-for-v4043a-120-v-ac-60-hz"">Resideo 40003916-024/U Replacement Head for V4043A, 120 V AC, 60 Hz</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> V4043A1705/U</li><li><strong>Valve action:</strong> Normally closed</li><li><strong>Voltage:</strong> 120 Vac</li><li><strong>Connection type:</strong> Npt</li><li><strong>Max operating pressure:</strong> 300 psi</li><li><strong>Category:</strong> Zone Valves</li></ul>"
120-vac-sweat-n-c-zone-valve,UPDATE,"<p>The V4043A1010 is a two-position hydronic zone valve from Resideo, the brand that carries the Honeywell Home line of residential heating controls. It pairs a motorized actuator with a sweat valve body to start and stop hot water flow to a single heating zone on a call from a thermostat or zone panel.</p><p>The valve is <strong>normally closed</strong>. It stays shut until the actuator is energized and returns to the closed position when power is removed, so a zone drops out on a power failure or a thermostat fault instead of running unattended. That is the safer default on a boiler loop feeding radiators, convectors, finned baseboard, or in-floor radiant tubing.</p><p>The sweat connections tie the valve into the supply piping, and the V4043A1010 handles supply water at operating pressures up to <strong>300 psi</strong>. </p><p>The V8043 and V4043 series have been the reference zone valves in North American hydronic heating for decades, and most contractors still order them by the original Honeywell part number. The actuator head is field-replaceable, so a burned-out motor does not mean cutting the body out of the line.</p><p><strong>Replacement head and motor for this valve</strong></p><ul><li><a href=""/products/replacement-head-for-v4043a-120-v-ac-60-hz"">Resideo 40003916-024/U Replacement Head for V4043A, 120 V AC, 60 Hz</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> V4043A1010/U</li><li><strong>Valve action:</strong> Normally closed</li><li><strong>Voltage:</strong> 120 Vac</li><li><strong>Connection type:</strong> Sweat</li><li><strong>Max operating pressure:</strong> 300 psi</li><li><strong>Category:</strong> Zone Valves</li></ul>"
2-position-actuator-for-vu52-no-and-vu54-valve-bodies-24-v-50-60-hz,UPDATE,"<p>The VU842A1046 is a two-position valve actuator from Resideo, the brand that carries the Honeywell Home line of residential heating controls, built for VU series fan coil valve bodies. It drives the valve fully open on a call and returns it to the rest position when the call ends.</p><p>Fan coil valves live in ceiling plenums and closets where service access is poor, so the actuator is the part specified to be replaceable on its own. Matching the actuator to the body matters: a normally closed body and a normally open body take different heads, and fitting the wrong one reverses the zone.</p><p>Check the valve body model stamped on the unit before ordering — the title of this listing states which VU bodies this actuator is built for.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VU842A1046/U</li><li><strong>Series:</strong> VU</li><li><strong>Control type:</strong> Two-position</li><li><strong>Voltage:</strong> 24 Vac</li><li><strong>Category:</strong> Zone Valve Actuators</li></ul>"
2-position-low-volt-actuator-for-vc-series-valve,UPDATE,"<p>The VC2114ZZ11 is a two-position actuator for Resideo (Honeywell Home) VC series valve bodies. It mounts on the valve assembly and drives the cartridge open and closed on a signal from the zone control.</p><p>Two-position control is the standard arrangement for residential zoning: the actuator drives fully open on a call for heat and returns fully closed when the call ends.</p><p><strong>What a complete VC zone valve takes:</strong> a valve body, a cartridge, and an actuator, ordered separately. This listing is the actuator.</p><p><strong>VC valve bodies and cartridges this actuator works with</strong></p><ul><li><a href=""/products/2-way-1-2-in-sweat-vc-valve-assembly-3-5-cv-and-linear-flow"">Resideo VCZAA1100/E 2-way 1/2 in Sweat VC Valve Assembly 3.5 Cv and linear flow</a></li><li><a href=""/products/2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow"">Resideo 2-way 3/4 in fNPT VC Valve Assy 4.7 Cv and linear flow VCZAL1100/E</a></li><li><a href=""/products/2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow-hone-vczal3100-u"">Resideo 2-way 3/4 in fNPT VC Valve Assy 4.7 Cv and linear flow VCZAL3100/U</a></li><li><a href=""/products/2-way-1-in-fnpt-vc-valve-assy-6-6-cv-and-linear-flow"">Resideo VCZAR1100/U 2-way 1 in fNPT VC Valve Assy 6.6 Cv and linear flow</a></li><li><a href=""/products/2-way-1-2-in-fnpt-vc-valve-assembly-3-5-cv-and-linear-flow"">Resideo VCZBB1100/U 2-way 1/2 in fNPT VC Valve Assembly 3.5 Cv and linear flow</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VC2114ZZ11/U</li><li><strong>Series:</strong> VC</li><li><strong>Control type:</strong> Two-position</li><li><strong>Category:</strong> Zone Valve Actuators</li></ul>"
2-position-low-volt-actuator-for-vc-series-valve-hone-vc2714zz11-u,UPDATE,"<p>The VC2714ZZ11 is a two-position actuator for Resideo (Honeywell Home) VC series valve bodies. It mounts on the valve assembly and drives the cartridge open and closed on a signal from the zone control.</p><p>Two-position control is the standard arrangement for residential zoning: the actuator drives fully open on a call for heat and returns fully closed when the call ends.</p><p><strong>What a complete VC zone valve takes:</strong> a valve body, a cartridge, and an actuator, ordered separately. This listing is the actuator.</p><p><strong>VC valve bodies and cartridges this actuator works with</strong></p><ul><li><a href=""/products/2-way-1-2-in-sweat-vc-valve-assembly-3-5-cv-and-linear-flow"">Resideo VCZAA1100/E 2-way 1/2 in Sweat VC Valve Assembly 3.5 Cv and linear flow</a></li><li><a href=""/products/2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow"">Resideo 2-way 3/4 in fNPT VC Valve Assy 4.7 Cv and linear flow VCZAL1100/E</a></li><li><a href=""/products/2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow-hone-vczal3100-u"">Resideo 2-way 3/4 in fNPT VC Valve Assy 4.7 Cv and linear flow VCZAL3100/U</a></li><li><a href=""/products/2-way-1-in-fnpt-vc-valve-assy-6-6-cv-and-linear-flow"">Resideo VCZAR1100/U 2-way 1 in fNPT VC Valve Assy 6.6 Cv and linear flow</a></li><li><a href=""/products/2-way-1-2-in-fnpt-vc-valve-assembly-3-5-cv-and-linear-flow"">Resideo VCZBB1100/U 2-way 1/2 in fNPT VC Valve Assembly 3.5 Cv and linear flow</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VC2714ZZ11/U</li><li><strong>Series:</strong> VC</li><li><strong>Control type:</strong> Two-position</li><li><strong>Category:</strong> Zone Valve Actuators</li></ul>"
2-position-low-volt-actuator-for-vc-series-valve-hone-vc8110zz32-u,UPDATE,"<p>The VC8110ZZ32 is a two-position actuator for Resideo (Honeywell Home) VC series valve bodies. It mounts on the valve assembly and drives the cartridge open and closed on a signal from the zone control.</p><p>Two-position control is the standard arrangement for residential zoning: the actuator drives fully open on a call for heat and returns fully closed when the call ends.</p><p><strong>What a complete VC zone valve takes:</strong> a valve body, a cartridge, and an actuator, ordered separately. This listing is the actuator.</p><p><strong>VC valve bodies and cartridges this actuator works with</strong></p><ul><li><a href=""/products/2-way-1-2-in-sweat-vc-valve-assembly-3-5-cv-and-linear-flow"">Resideo VCZAA1100/E 2-way 1/2 in Sweat VC Valve Assembly 3.5 Cv and linear flow</a></li><li><a href=""/products/2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow"">Resideo 2-way 3/4 in fNPT VC Valve Assy 4.7 Cv and linear flow VCZAL1100/E</a></li><li><a href=""/products/2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow-hone-vczal3100-u"">Resideo 2-way 3/4 in fNPT VC Valve Assy 4.7 Cv and linear flow VCZAL3100/U</a></li><li><a href=""/products/2-way-1-in-fnpt-vc-valve-assy-6-6-cv-and-linear-flow"">Resideo VCZAR1100/U 2-way 1 in fNPT VC Valve Assy 6.6 Cv and linear flow</a></li><li><a href=""/products/2-way-1-2-in-fnpt-vc-valve-assembly-3-5-cv-and-linear-flow"">Resideo VCZBB1100/U 2-way 1/2 in fNPT VC Valve Assembly 3.5 Cv and linear flow</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VC8110ZZ32/U</li><li><strong>Series:</strong> VC</li><li><strong>Control type:</strong> Two-position</li><li><strong>Category:</strong> Zone Valve Actuators</li></ul>"
2-position-low-volt-actuator-for-vc-series-with-end-switch,UPDATE,"<p>The VC8711ZZ11 is a two-position actuator for Resideo (Honeywell Home) VC series valve bodies. It mounts on the valve assembly and drives the cartridge open and closed on a signal from the zone control.</p><p>Two-position control is the standard arrangement for residential zoning: the actuator drives fully open on a call for heat and returns fully closed when the call ends.</p><p><strong>What a complete VC zone valve takes:</strong> a valve body, a cartridge, and an actuator, ordered separately. This listing is the actuator.</p><p><strong>VC valve bodies and cartridges this actuator works with</strong></p><ul><li><a href=""/products/2-way-1-2-in-sweat-vc-valve-assembly-3-5-cv-and-linear-flow"">Resideo VCZAA1100/E 2-way 1/2 in Sweat VC Valve Assembly 3.5 Cv and linear flow</a></li><li><a href=""/products/2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow"">Resideo 2-way 3/4 in fNPT VC Valve Assy 4.7 Cv and linear flow VCZAL1100/E</a></li><li><a href=""/products/2-way-3-4-in-fnpt-vc-valve-assy-4-7-cv-and-linear-flow-hone-vczal3100-u"">Resideo 2-way 3/4 in fNPT VC Valve Assy 4.7 Cv and linear flow VCZAL3100/U</a></li><li><a href=""/products/2-way-1-in-fnpt-vc-valve-assy-6-6-cv-and-linear-flow"">Resideo VCZAR1100/U 2-way 1 in fNPT VC Valve Assy 6.6 Cv and linear flow</a></li><li><a href=""/products/2-way-1-2-in-fnpt-vc-valve-assembly-3-5-cv-and-linear-flow"">Resideo VCZBB1100/U 2-way 1/2 in fNPT VC Valve Assembly 3.5 Cv and linear flow</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VC8711ZZ11/U</li><li><strong>Series:</strong> VC</li><li><strong>Control type:</strong> Two-position</li><li><strong>End switch:</strong> Yes</li><li><strong>Category:</strong> Zone Valve Actuators</li></ul>"
