Handle,Command,Body HTML
0-011-in-orifice-for-lp-stamped-bbr11,UPDATE,"<p>Pilot orifice from Resideo (Honeywell Home), 0.011 in, for LP, stamped BBR11, part number 390686-36/U.</p><p>The pilot orifice meters the gas to the pilot flame. It is the smallest hole in the appliance and the one most easily blocked, and it is sized for one fuel only.</p><p>Getting it wrong is not subtle. An LP orifice on natural gas starves the pilot and the thermocouple cools; a natural gas orifice on LP gives a large, lifting, sooting flame. The stamped code is what identifies it once it is out of the packet.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 390686-36/U</li><li><strong>Type:</strong> Pilot orifice</li><li><strong>Orifice size:</strong> 0.011 in</li><li><strong>Gas:</strong> Lp</li><li><strong>Stamped code:</strong> BBR11</li><li><strong>UPC:</strong> 085267028561</li><li><strong>Category:</strong> Ignition Components</li></ul>"
0-018-in-orifice-for-natural-gas-stamped-bcr18,UPDATE,"<p>Pilot orifice from Resideo (Honeywell Home), 0.018 in, for natural gas, stamped BCR18, part number 390686-4/U.</p><p>The pilot orifice meters the gas to the pilot flame. It is the smallest hole in the appliance and the one most easily blocked, and it is sized for one fuel only.</p><p>Getting it wrong is not subtle. An LP orifice on natural gas starves the pilot and the thermocouple cools; a natural gas orifice on LP gives a large, lifting, sooting flame. The stamped code is what identifies it once it is out of the packet.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 390686-4/U</li><li><strong>Type:</strong> Pilot orifice</li><li><strong>Orifice size:</strong> 0.018 in</li><li><strong>Gas:</strong> Natural Gas</li><li><strong>Stamped code:</strong> BCR18</li><li><strong>UPC:</strong> 085267028622</li><li><strong>Category:</strong> Ignition Components</li></ul>"
1-piece-glowfly-multisystem-120-vac-hot-surface-igniter,UPDATE,"<p>Silicon carbide hot surface igniter from Resideo (Honeywell Home), part number Q3200U1004/U, 120 VAC.</p><p>A hot surface igniter lights the burner by glowing rather than by sparking. Line voltage is applied to a silicon carbide element, it comes up to temperature in seconds, and the gas valve opens onto a surface hot enough to ignite the mixture. There is no pilot to go out and no electrode gap to drift.</p><p>Silicon carbide is brittle. The most common way an igniter dies is not electrical — it is being touched during service, or being cycled against a burner that is not lighting cleanly. Handle it by the ceramic base and never by the element.</p><p><strong>Match by part number.</strong> Igniters in this family share the element and differ in the mounting bracket and the appliance they were built for. The lead length and the bracket are what decide whether one fits; the number stamped on the igniter you are replacing is the reliable guide.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q3200U1004/U</li><li><strong>Type:</strong> Silicon carbide hot surface igniter</li><li><strong>Voltage:</strong> 120 VAC</li><li><strong>UPC:</strong> 085267465199</li><li><strong>Category:</strong> Hot Surface Igniters</li></ul>"
150-kbtuh-intermittent-pilot-retrofit-kit,UPDATE,"<p>Intermittent pilot retrofit kit from Resideo (Honeywell Home), rated to 150 kBtuh, part number Y8610U4001/U.</p><p>The kit converts a standing pilot appliance to intermittent pilot: the pilot stops burning between calls for heat and is lit and proved electronically when heat is needed. On an appliance that sits idle through the shoulder seasons, the pilot gas saved is the whole point.</p><p>Retrofit kits are rated by appliance input. Fitting one below the appliance rating is not a performance compromise — it is outside what the kit was certified for.</p><p><strong>Gas appliance safety.</strong> A gas valve must match the appliance it is fitted to — ignition system, capacity, inlet pressure and gas type. Replacement is work for a licensed gas technician, and the appliance manufacturer's parts list is what decides the correct valve, not the physical fit of the threads. If the replacement does not match, the appliance can fail to light, fail to prove flame, or overfire.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Y8610U4001/U</li><li><strong>Type:</strong> Intermittent pilot retrofit kit</li><li><strong>Capacity:</strong> 150 kBtuh</li><li><strong>UPC:</strong> 085267313445</li><li><strong>Category:</strong> Ignition Components</li></ul>"
24-inch-igniter-flame-rod-assembly,UPDATE,"<p>Igniter and flame rod assembly from Resideo (Honeywell Home), part number Q3400A1016/U.</p><p>This single assembly does both jobs in an intermittent pilot system: it sparks to light the pilot, then serves as the flame rod that proves the pilot is burning. The control watches for the tiny rectified current that only a real flame can conduct, and shuts the gas off in seconds if it does not see it.</p><p>A furnace that lights and then drops out after a few seconds is usually telling you about this part, not about the gas valve. A sooted, cracked or mispositioned flame rod stops conducting long before it stops looking serviceable.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q3400A1016/U</li><li><strong>Type:</strong> Igniter / flame rod assembly</li><li><strong>UPC:</strong> 085267780360</li><li><strong>Category:</strong> Ignition Components</li></ul>"
24-vac-dual-slow-opening-gas-valve-with-step-opening-single-stage,UPDATE,"<p>The VR8304P4504 is a two-stage gas control valve from Resideo (Honeywell Home) for intermittent pilot appliances, 24 Vac coil.</p><p>The gas valve is the component that admits fuel to the burner and shuts it off. It carries the main shutoff, the pressure regulator that holds manifold pressure steady as supply pressure varies, and the safety interlock that keeps gas off until the control system has proved it is safe to light.</p><p><strong>Intermittent pilot</strong> lights the pilot only when heat is called for, proves it, and then opens the main valve. Nothing burns between cycles, which is the fuel saving over a standing pilot, and the ignition module watches the flame rod the whole time the burner runs.</p><p>The valve is <strong>slow opening</strong>. A slow-opening valve ramps the burner up over a couple of seconds to soften the light-off; a standard-opening valve goes to full rate at once. Match the opening rate of the valve coming out — this is one of the differences that does not show on the outside of the body.</p><p>Two-stage firing lets the appliance run at part load for most of the season and only go to full rate when the load demands it. Longer, gentler burns hold temperature more evenly and cut the cycling losses that come with a single-stage burner switching hard on and off.</p><p><strong>Gas appliance safety.</strong> A gas valve must match the appliance it is fitted to — ignition system, capacity, inlet pressure and gas type. Replacement is work for a licensed gas technician, and the appliance manufacturer's parts list is what decides the correct valve, not the physical fit of the threads. If the replacement does not match, the appliance can fail to light, fail to prove flame, or overfire.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VR8304P4504/U</li><li><strong>Type:</strong> Gas control valve</li><li><strong>Ignition system:</strong> Intermittent pilot</li><li><strong>Staging:</strong> Two-stage</li><li><strong>Coil voltage:</strong> 24 Vac</li><li><strong>Opening rate:</strong> Slow opening</li><li><strong>UPC:</strong> 085267114912</li><li><strong>Category:</strong> Gas Valves</li></ul>"
3-4-in-x-3-4-in-universal-24-vac-standard-opening-ignition-gas-valve,UPDATE,"<p>The VR8345Q4563 is a gas control valve from Resideo (Honeywell Home) for universal appliances, 3/4 in x 3/4 in inlet and outlet, 24 Vac coil.</p><p>The gas valve is the component that admits fuel to the burner and shuts it off. It carries the main shutoff, the pressure regulator that holds manifold pressure steady as supply pressure varies, and the safety interlock that keeps gas off until the control system has proved it is safe to light.</p><p>This is a <strong>universal</strong> valve, built to serve intermittent pilot and direct ignition systems both. One part number covers applications that would otherwise take two, which is why it is the valve a service truck carries.</p><p>The valve is <strong>standard opening</strong>. A slow-opening valve ramps the burner up over a couple of seconds to soften the light-off; a standard-opening valve goes to full rate at once. Match the opening rate of the valve coming out — this is one of the differences that does not show on the outside of the body.</p><p><strong>Gas appliance safety.</strong> A gas valve must match the appliance it is fitted to — ignition system, capacity, inlet pressure and gas type. Replacement is work for a licensed gas technician, and the appliance manufacturer's parts list is what decides the correct valve, not the physical fit of the threads. If the replacement does not match, the appliance can fail to light, fail to prove flame, or overfire.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VR8345Q4563/U</li><li><strong>Type:</strong> Gas control valve</li><li><strong>Ignition system:</strong> Universal</li><li><strong>Coil voltage:</strong> 24 Vac</li><li><strong>Inlet x outlet:</strong> 3/4 in x 3/4 in</li><li><strong>Opening rate:</strong> Standard opening</li><li><strong>UPC:</strong> 085267797306</li><li><strong>Category:</strong> Gas Valves</li></ul>"
30-in-high-temperature-igniter-flame-rod-assembly,UPDATE,"<p>Igniter and flame rod assembly from Resideo (Honeywell Home), part number Q3400A1032/U, high temperature rated.</p><p>This single assembly does both jobs in an intermittent pilot system: it sparks to light the pilot, then serves as the flame rod that proves the pilot is burning. The control watches for the tiny rectified current that only a real flame can conduct, and shuts the gas off in seconds if it does not see it.</p><p>A furnace that lights and then drops out after a few seconds is usually telling you about this part, not about the gas valve. A sooted, cracked or mispositioned flame rod stops conducting long before it stops looking serviceable.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q3400A1032/U</li><li><strong>Type:</strong> Igniter / flame rod assembly</li><li><strong>Rating:</strong> High temperature</li><li><strong>Category:</strong> Ignition Components</li></ul>"
30-in-igniter-flame-rod-assembly-for-smartvalve-pilots,UPDATE,"<p>Igniter and flame rod assembly from Resideo (Honeywell Home), part number Q3400A1024/U, for SmartValve pilots.</p><p>This single assembly does both jobs in an intermittent pilot system: it sparks to light the pilot, then serves as the flame rod that proves the pilot is burning. The control watches for the tiny rectified current that only a real flame can conduct, and shuts the gas off in seconds if it does not see it.</p><p>A furnace that lights and then drops out after a few seconds is usually telling you about this part, not about the gas valve. A sooted, cracked or mispositioned flame rod stops conducting long before it stops looking serviceable.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> Q3400A1024/U</li><li><strong>Type:</strong> Igniter / flame rod assembly</li><li><strong>Shipping weight:</strong> 0.2 lb</li><li><strong>Category:</strong> Ignition Components</li></ul>"
30-inch-ignition-cable-assembly-with-a-straight-boot,UPDATE,"<p>Ignition cable assembly from Resideo (Honeywell Home), 30 inch, straight boot, part number 394801-30/U.</p><p>The ignition cable carries several thousand volts from the module to the electrode. Its insulation is the only thing keeping that voltage on its intended path, and a cable that has been routed against hot sheet metal for a decade will track to ground long before it looks damaged.</p><p>An intermittent spark that gets worse when the blower runs is usually the cable, not the module.</p><p>Route the replacement the way the original ran, clear of metal edges and away from the flame path, and seat the boot fully on the electrode. A boot pushed on only part way arcs to the nearest ground instead of across the gap, which reads on the meter as a healthy module and behaves in the field as no ignition.</p><p>Length matters as much as fit. A cable cut or coiled to take up slack changes how the circuit behaves at several thousand volts, and the assembly is supplied at the length the appliance was designed around.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 394801-30/U</li><li><strong>Type:</strong> Ignition cable assembly</li><li><strong>Length:</strong> 30 in</li><li><strong>Boot:</strong> Straight</li><li><strong>UPC:</strong> 085267030519</li><li><strong>Category:</strong> Ignition Components</li></ul>"
