variant_id,product_id,sku,title,peso_antigo_lb,peso_novo_lb
gid://shopify/ProductVariant/44350473535591,gid://shopify/Product/7715337437287,PVCP-050-10-SCH40-PE,"Charlotte Pipe PVC 04005 0600 1/2"" x 10' PVC SCH40 Plain End Pipe",0.16,1.6
gid://shopify/ProductVariant/44350473568359,gid://shopify/Product/7715337470055,PVCP-050-SCH40-BE,"Charlotte Pipe PVC 04005B 0800 1/2"" x 20' PVC SCH40 Belled End Pipe",0.16,3.2
gid://shopify/ProductVariant/44350473633895,gid://shopify/Product/7715337535591,PVCP-050-SCH80,"Charlotte Pipe PVC 10005 0600 1/2"" x 20' PVC SCH80 Plain End Pipe",0.21,4.2
gid://shopify/ProductVariant/44350473666663,gid://shopify/Product/7715337568359,PVCP-075-10-SCH40-PE,"Charlotte Pipe PVC 04007 0600 3/4"" x 10' PVC SCH40 Plain End Pipe",0.22,2.2
gid://shopify/ProductVariant/44350473699431,gid://shopify/Product/7715337601127,PVCP-075-SCH40-BE,"Charlotte Pipe PVC 04007B 0800 3/4"" x 20' PVC SCH40 Belled End Pipe",0.22,4.4
gid://shopify/ProductVariant/44350473764967,gid://shopify/Product/7715337666663,PVCP-075-SCH80,"Charlotte Pipe PVC 10007 0600 3/4"" x 20' PVC SCH80 Plain End Pipe",0.28,5.6
gid://shopify/ProductVariant/44350473830503,gid://shopify/Product/7715337732199,PVCP-100-10-SCH40-PE,"Charlotte Pipe PVC 04010 0600 1"" x 10' PVC SCH40 Plain End Pipe",0.32,3.2
gid://shopify/ProductVariant/44350473863271,gid://shopify/Product/7715337764967,PVCP-100-SCH40-BE,"Charlotte Pipe PVC 04010B 0800 1"" x 20' PVC SCH40 Belled End Pipe",0.32,6.4
gid://shopify/ProductVariant/44350473928807,gid://shopify/Product/7715337830503,PVCP-100-SCH80,"Charlotte Pipe PVC 10010 0600 1"" x 20' PVC SCH80 Plain End Pipe",0.41,8.2
gid://shopify/ProductVariant/44350474256487,gid://shopify/Product/7715338059879,PVCP-125-SCH40-BE,"Charlotte Pipe PVC 04012B 0800 1-1/4"" x 20' PVC SCH40 Belled End Pipe",0.44,8.8
gid://shopify/ProductVariant/44350474322023,gid://shopify/Product/7715338125415,PVCP-125-SCH80,"Charlotte Pipe PVC 10012 0600 1-1/4"" x 20' PVC SCH80 Plain End Pipe",0.57,11.4
gid://shopify/ProductVariant/44350474354791,gid://shopify/Product/7715338158183,PVCP-150-10-SCH40-PE,"Charlotte Pipe PVC 07112 0600 1-1/2"" x 10' PVC SCH40 Plain End Pipe",0.52,5.2
gid://shopify/ProductVariant/44350474387559,gid://shopify/Product/7715338190951,PVCP-150-10DWV,"Charlotte Pipe PVC 04112 0600 1-1/2"" x 10' PVC DWV Cellular Core Pipe ASTM F891",0.52,5.2
gid://shopify/ProductVariant/44350475305063,gid://shopify/Product/7715338977383,PVCP-150-20DWV,"Charlotte Pipe PVC 04112 0800 1-1/2"" x 20' PVC DWV Cellular Core Pipe ASTM F891",0.52,10.4
gid://shopify/ProductVariant/44350478155879,gid://shopify/Product/7715339141223,PVCP-150-SCH40-BE,"Charlotte Pipe PVC 04015B 0800 1-1/2"" x 20' PVC SCH40 Belled End Pipe",0.52,10.4
