Handle,Command,Body HTML
compression-fitting-for-1-4-in-od-pilot-tubing-0-78-in-total-overall-length,UPDATE,"<p>Compression fitting from Resideo (Honeywell Home) for 1/4 in OD pilot tubing, 0.78 in overall, part number 386449-1/U.</p><p>Pilot tubing carries gas at a few inches of water column, and the joint at each end is a compression fitting on soft aluminum or copper line. The fitting is cheap, it is the part most often mangled during a pilot replacement, and a weeping one is a gas leak at head height inside the appliance cabinet.</p><p>Fittings differ in overall length even at the same tube size, which is why the number matters — the length is what lets the nut reach the thread on a particular valve body.</p><p>Tighten these by feel and not by force. The ferrule sets on soft tube in well under a full turn past snug, and a fitting cranked down crushes the tube, restricting the pilot gas rate rather than sealing it.</p><p>Never reuse a ferrule that has already been set on another tube. It has taken the shape of that tube and it will not seal on a new one, which is the usual reason a pilot line weeps after a repair.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 386449-1/U</li><li><strong>Type:</strong> Pilot tubing compression fitting</li><li><strong>Tube OD:</strong> 1/4 in OD</li><li><strong>Overall length:</strong> 0.78 in</li><li><strong>UPC:</strong> 085267796989</li><li><strong>Category:</strong> Ignition Components</li></ul>"
compression-fitting-for-1-4-in-od-pilot-tubing-1-15-in-total-overall-length,UPDATE,"<p>Compression fitting from Resideo (Honeywell Home) for 1/4 in OD pilot tubing, 1.15 in overall, part number 386449-4/U.</p><p>Pilot tubing carries gas at a few inches of water column, and the joint at each end is a compression fitting on soft aluminum or copper line. The fitting is cheap, it is the part most often mangled during a pilot replacement, and a weeping one is a gas leak at head height inside the appliance cabinet.</p><p>Fittings differ in overall length even at the same tube size, which is why the number matters — the length is what lets the nut reach the thread on a particular valve body.</p><p>Tighten these by feel and not by force. The ferrule sets on soft tube in well under a full turn past snug, and a fitting cranked down crushes the tube, restricting the pilot gas rate rather than sealing it.</p><p>Never reuse a ferrule that has already been set on another tube. It has taken the shape of that tube and it will not seal on a new one, which is the usual reason a pilot line weeps after a repair.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 386449-4/U</li><li><strong>Type:</strong> Pilot tubing compression fitting</li><li><strong>Tube OD:</strong> 1/4 in OD</li><li><strong>Overall length:</strong> 1.15 in</li><li><strong>UPC:</strong> 085267027847</li><li><strong>Category:</strong> Ignition Components</li></ul>"
compression-fitting-for-1-8-in-od-pilot-tubing-0-78-in-total-overall-length,UPDATE,"<p>Compression fitting from Resideo (Honeywell Home) for 1/8 in OD pilot tubing, 0.78 in overall, part number 392449-1/U.</p><p>Pilot tubing carries gas at a few inches of water column, and the joint at each end is a compression fitting on soft aluminum or copper line. The fitting is cheap, it is the part most often mangled during a pilot replacement, and a weeping one is a gas leak at head height inside the appliance cabinet.</p><p>Fittings differ in overall length even at the same tube size, which is why the number matters — the length is what lets the nut reach the thread on a particular valve body.</p><p>Tighten these by feel and not by force. The ferrule sets on soft tube in well under a full turn past snug, and a fitting cranked down crushes the tube, restricting the pilot gas rate rather than sealing it.</p><p>Never reuse a ferrule that has already been set on another tube. It has taken the shape of that tube and it will not seal on a new one, which is the usual reason a pilot line weeps after a repair.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 392449-1/U</li><li><strong>Type:</strong> Pilot tubing compression fitting</li><li><strong>Tube OD:</strong> 1/8 in OD</li><li><strong>Overall length:</strong> 0.78 in</li><li><strong>UPC:</strong> 085267029469</li><li><strong>Category:</strong> Ignition Components</li></ul>"
digital-bath-fan-control,UPDATE,"<p>The HVC0001 is a digital bath fan control from Resideo (Honeywell Home), 120 V.</p><p>A bathroom fan has to run long enough to actually clear the moisture, and nobody leaves it on that long. A timed control does it for them: the fan keeps running after the room is empty and shuts itself off, which is the difference between a bathroom that dries and a ceiling that grows mold.</p><p>Moisture is the reason, and moisture takes time. Running the fan while the shower is on removes some of it; running it for twenty minutes afterwards is what actually pulls the room back down, because the water is still coming off warm tile, towels and the walls long after the tap is shut. A control that keeps running unattended is the only version of that which happens every day.</p><p>It replaces the wall switch, so there is no new wiring to run — the fan and the control use the pair already in the box.</p><p>Size the fan before blaming the control. A fan that cannot move the air for the room will not dry it no matter how long it runs, and a run-on timer on an undersized fan just means it is undersized for longer.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> HVC0001/U</li><li><strong>Type:</strong> Digital bath fan control</li><li><strong>Power:</strong> 120 Vac</li><li><strong>UPC:</strong> 085267077699</li><li><strong>Category:</strong> Ventilation Controls</li></ul>"
single-bulb-24v-uv-air-treatment-or-coil-irradiation,UPDATE,"<p>The UV2400U1000 is a single-bulb 24 V UV air treatment system from Resideo (Honeywell Home), 16 W.</p><p>Ultraviolet in the duct does one of two jobs depending on where it is aimed. Pointed at the evaporator coil it keeps the coil surface free of the mold that grows on any permanently wet metal — that is the job with the measurable payback, because a fouled coil loses capacity and the smell goes into every room. Pointed into the airstream it works on airborne organisms, which is real but limited by how long the air is in front of the lamp.</p><p>It is not a filter and does not replace one. UV does nothing about dust, dander or smoke; media and UV solve different halves of the problem.</p><p>Plan for an annual lamp change from the start — output in the germicidal band falls off well before the lamp stops lighting.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> UV2400U1000/U</li><li><strong>Type:</strong> UV air treatment system</li><li><strong>Power:</strong> 24 V, 16 W</li><li><strong>Mounting:</strong> Return or Supply Mount</li><li><strong>Targets:</strong> Airborne Bacteria, Surface Mold</li><li><strong>UPC:</strong> 085267716598</li><li><strong>Category:</strong> Air Treatment</li></ul>"
1-2-in-union-sweat-and-npt-pressure-reducing-valve-prv,UPDATE,"<p>The VF06-100-SUSUT is a fast fill pressure-reducing boiler feed valve from Resideo (Honeywell Home), 1/2 in, 4 psi to 60 psi adjustable.</p><p>The reducing valve is what decides the cold fill pressure of the system, and cold fill pressure is what decides whether the top of the building has water in it. Too low and the upper floor is air; too high and the relief valve weeps every time the boiler comes up to temperature.</p><p>Set it to the static head plus a margin — roughly one psi for every 2.3 feet from the valve to the highest point, plus about 4 psi so the top is still under pressure when hot. The factory setting suits a two-story house and nothing else.</p><p><strong>Fast fill</strong> lets it be opened wide to charge a dry system and then returned to regulating.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> VF06-100-SUSUT/U</li><li><strong>Type:</strong> Fast fill pressure-reducing boiler feed valve</li><li><strong>Pipe size:</strong> 1/2 in</li><li><strong>Connection:</strong> NPT; Inlet: Sweat or Threaded</li><li><strong>Valve type:</strong> Fast Fill</li><li><strong>Pressure range:</strong> 4 psi to 60 psi</li><li><strong>Body material:</strong> Brass</li><li><strong>Maximum pressure:</strong> 150 psi</li><li><strong>Dimensions:</strong> 4 1/8 in high x 5 5/16 in long</li><li><strong>UPC:</strong> 085267168175</li><li><strong>Shipping weight:</strong> 1.76 lb</li><li><strong>Category:</strong> Boiler Fill Valves</li></ul>"
cover-plate-7-7-8-x-5-1-2-in-premier-white,UPDATE,"<p>The 32003796-001 is a thermostat cover plate from Resideo (Honeywell Home), 7-7/8 x 5-1/2 in.</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 32003796-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>Size:</strong> 7-7/8 x 5-1/2 in</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
decorative-cover-plate-for-t8775-t87k-n,UPDATE,"<p>The 50000066-001 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50000066-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 085267251396</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
cover-plate-assembly-for-focuspro-th5110-coverplates-bracket-for-j-boxes-mounting-hardware,UPDATE,"<p>The 50001137-001 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50001137-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 085267258364</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
cover-plate-assy-focuspro-and-pro,UPDATE,"<p>The 50002883-001 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50002883-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>Shipping weight:</strong> 0.25 lb</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
